"X"	"A"	"F_risk"	"O_factor"	"imm_p"	"RRreport"	"knot1"	"knot2"	"beta1"	"log.density"
"4913"	4913	0.56382667622697	0.0495098375924017	0.22058435687421	0.915286022049025	0.921667843217523	2.2878800839209	13.3652562127169	0.688347626173171	-153.253553346185
"4919"	4919	0.562791000089073	0.0510723698389256	0.251958837669986	0.889434914318951	0.869812489224441	1.18702360180523	12.3473932184745	0.662597801039769	-153.572836822077
"4925"	4925	0.569173503035857	0.0520246921133423	0.295390265769118	0.889493811611526	0.830019213883344	1.76811021939368	13.0603286371172	0.570333956088664	-152.509023684073
"4931"	4931	0.565181401950646	0.0459055800241034	0.373170049906279	0.935615407119375	0.907011782161352	6.33576984303178	9.5666106073373	0.612242158736083	-149.846094312183
"4937"	4937	0.565181401950646	0.0459055800241034	0.373170049906279	0.935615407119375	0.907011782161352	6.33576984303178	9.5666106073373	0.612242158736083	-149.846094312183
"4943"	4943	0.564119184622001	0.0455091680876349	0.478486174628843	0.952701098187767	0.779851660109253	7.90436817731033	9.70417954373267	0.511605956892393	-150.574593030133
"4949"	4949	0.564119184622001	0.0455091680876349	0.478486174628843	0.952701098187767	0.779851660109253	7.90436817731033	9.70417954373267	0.511605956892393	-150.574593030133
"4955"	4955	0.573732934296295	0.0451684398234618	0.50483602661959	0.962161166523476	0.761615823231175	8.036612622805	11.3728964021388	0.298873734587872	-152.627893539961
"4961"	4961	0.558608556178251	0.0589896357375699	0.201333714361477	0.969082570585164	0.956379378937588	3.10266632851169	13.5126945990329	0.607480552249431	-153.030719382024
"4967"	4967	0.558250828657231	0.0481099391189137	0.391071665798362	0.924016802387396	0.822481932115189	7.33533526096509	13.6710071600762	0.288832179971409	-153.583045134529
"4973"	4973	0.561473622325071	0.0573808753026956	0.373688477484997	0.921186147621029	0.846952116949989	7.01863082421008	9.75909527713892	0.35099500544932	-154.778740704129
"4979"	4979	0.552908964752375	0.0677620886530845	0.140271263959948	0.90041443194129	0.857113622140386	5.29323735169991	13.1974081863139	0.522750030751606	-153.156317965253
"4985"	4985	0.566315944822878	0.065229147366308	0.161512766776196	0.896001665593592	0.928248244168208	8.6135374825137	13.9509467041875	0.476064283459361	-150.962845020555
"4991"	4991	0.565628456820785	0.0742366994206752	0.0472514377327548	0.87776312968631	0.954947007676123	8.06252131815296	13.2409640455571	0.716586619522042	-152.09789393395
"4997"	4997	0.57002595806729	0.0874001895933153	0.0134866410987436	0.873529212075068	0.902371963350803	7.78015982846981	9.48480692923078	0.784809017934158	-152.634541554946
